Budget,Duration,Season,Travel_Type,Travel_Preference,Region,Destination
Medium,2,Winter,Solo,Adventure,South India,Hyderabad
High,9,Winter,Family,Beach,South India,Andaman
Medium,5,Autumn,Couple,Nature,East India,Darjeeling
Medium,5,Autumn,Solo,Nature,East India,Darjeeling
High,6,Monsoon,Couple,Adventure,West India,Goa
Low,6,Autumn,Friends,Spiritual,North India,Rishikesh
Medium,2,Autumn,Family,Historical,South India,Mysore
Medium,7,Winter,Couple,Mountains,North India,Manali
High,8,Spring,Friends,Beach,East India,Andaman
High,7,Winter,Family,Adventure,South India,Andaman
High,6,Winter,Friends,Beach,West India,Goa
Low,2,Winter,Solo,Adventure,South India,Hyderabad
Medium,4,Spring,Couple,Nature,West India,Udaipur
Medium,4,Winter,Couple,Spiritual,North India,Jaipur
High,3,Spring,Couple,Historical,North India,Jaipur
High,7,Winter,Friends,Beach,East India,Andaman
Low,2,Autumn,Family,Nature,South India,Araku Valley
Medium,4,Monsoon,Friends,Nature,South India,Coorg
Medium,6,Spring,Family,Mountains,East India,Darjeeling
Medium,2,Winter,Family,Historical,South India,Mysore
Low,4,Spring,Friends,Adventure,North India,Rishikesh
Low,2,Autumn,Family,Spiritual,South India,Mysore
Low,3,Winter,Solo,Spiritual,North India,Varanasi
High,9,Winter,Couple,Beach,South India,Andaman
Medium,4,Monsoon,Couple,Nature,South India,Coorg
Medium,5,Winter,Couple,Mountains,South India,Munnar
Low,4,Summer,Couple,Nature,South India,Ooty
Medium,3,Spring,Family,Historical,North India,Jaipur
Medium,3,Spring,Couple,Nature,West India,Udaipur
Low,4,Winter,Family,Wildlife,South India,Araku Valley
High,3,Monsoon,Couple,Adventure,South India,Coorg
Low,3,Winter,Family,Spiritual,North India,Varanasi
Medium,6,Winter,Friends,Adventure,West India,Goa
High,6,Summer,Couple,Mountains,North India,Kashmir
High,8,Winter,Family,Mountains,North India,Kashmir
High,7,Winter,Couple,Beach,South India,Andaman
Medium,4,Summer,Family,Mountains,South India,Ooty
Medium,4,Autumn,Solo,Historical,South India,Mysore
High,2,Winter,Friends,Adventure,South India,Coorg
High,8,Winter,Family,Beach,South India,Andaman
Medium,6,Winter,Friends,Mountains,North India,Manali
High,5,Winter,Friends,Beach,West India,Goa
Medium,6,Spring,Solo,Spiritual,North India,Rishikesh
Medium,5,Spring,Family,Nature,West India,Udaipur
Medium,4,Winter,Family,Mountains,South India,Munnar
Low,2,Autumn,Solo,Historical,South India,Mysore
Medium,4,Spring,Friends,Spiritual,North India,Rishikesh
High,5,Winter,Family,Historical,West India,Udaipur
Low,2,Winter,Couple,Nature,South India,Araku Valley
Medium,5,Winter,Couple,Nature,South India,Munnar
Medium,2,Winter,Solo,Spiritual,North India,Varanasi
Low,2,Autumn,Solo,Spiritual,North India,Varanasi
Low,2,Autumn,Solo,Spiritual,South India,Mysore
Medium,4,Winter,Solo,Spiritual,North India,Varanasi
High,9,Spring,Couple,Beach,South India,Andaman
Medium,7,Summer,Friends,Mountains,North India,Manali
Medium,6,Summer,Friends,Adventure,North India,Manali
Medium,8,Summer,Couple,Mountains,North India,Manali
Medium,5,Summer,Couple,Nature,South India,Ooty
High,2,Spring,Couple,Historical,North India,Jaipur
High,6,Winter,Family,Nature,North India,Kashmir
Medium,3,Monsoon,Friends,Adventure,South India,Coorg
Medium,5,Winter,Couple,Historical,North India,Jaipur
Low,2,Autumn,Family,Historical,South India,Mysore
Medium,6,Winter,Solo,Mountains,North India,Manali
Low,3,Autumn,Friends,Adventure,North India,Rishikesh
Low,4,Autumn,Family,Nature,South India,Araku Valley
High,4,Winter,Friends,Adventure,West India,Goa
High,7,Winter,Couple,Beach,South India,Andaman
Medium,8,Summer,Couple,Mountains,North India,Manali
Medium,4,Winter,Couple,Adventure,South India,Coorg
High,7,Winter,Friends,Beach,East India,Andaman
Low,2,Autumn,Solo,Historical,South India,Mysore
Low,3,Monsoon,Family,Nature,South India,Araku Valley
Medium,5,Spring,Solo,Adventure,North India,Rishikesh
Low,3,Monsoon,Family,Nature,South India,Araku Valley
Low,2,Winter,Family,Spiritual,North India,Varanasi
Low,5,Monsoon,Friends,Beach,West India,Goa
Low,3,Autumn,Friends,Spiritual,North India,Rishikesh
Medium,3,Winter,Solo,Spiritual,North India,Varanasi
Low,4,Autumn,Friends,Adventure,North India,Rishikesh
High,4,Winter,Friends,Beach,West India,Goa
Low,2,Autumn,Family,Spiritual,South India,Mysore
Medium,3,Summer,Couple,Mountains,South India,Ooty
Low,4,Spring,Family,Mountains,South India,Ooty
Low,2,Winter,Family,Nature,South India,Araku Valley
Low,3,Autumn,Family,Spiritual,South India,Mysore
Medium,3,Autumn,Solo,Historical,South India,Hyderabad
Medium,3,Winter,Family,Historical,North India,Jaipur
High,8,Winter,Couple,Adventure,East India,Andaman
High,2,Winter,Family,Historical,North India,Jaipur
Low,3,Autumn,Solo,Spiritual,North India,Varanasi
High,8,Summer,Family,Nature,North India,Kashmir
High,3,Winter,Couple,Spiritual,North India,Jaipur
Low,5,Summer,Family,Nature,South India,Ooty
Low,2,Monsoon,Family,Nature,South India,Araku Valley
High,7,Summer,Couple,Nature,North India,Kashmir
Medium,2,Winter,Friends,Adventure,South India,Hyderabad
Low,3,Autumn,Friends,Adventure,North India,Rishikesh
Low,4,Spring,Friends,Adventure,North India,Rishikesh
Low,3,Autumn,Family,Spiritual,South India,Mysore
Medium,4,Autumn,Solo,Adventure,North India,Rishikesh
High,2,Winter,Couple,Adventure,South India,Coorg
Low,3,Autumn,Solo,Historical,South India,Hyderabad
Low,3,Winter,Solo,Spiritual,North India,Varanasi
Low,4,Winter,Family,Historical,South India,Mysore
Low,4,Spring,Solo,Adventure,North India,Rishikesh
High,3,Monsoon,Couple,Nature,South India,Coorg
Medium,3,Winter,Couple,Spiritual,North India,Jaipur
Low,3,Winter,Solo,Spiritual,North India,Varanasi
High,4,Winter,Family,Nature,West India,Udaipur
Medium,5,Summer,Couple,Mountains,South India,Ooty
Medium,4,Monsoon,Family,Mountains,South India,Munnar
Low,4,Spring,Family,Mountains,South India,Ooty
Low,2,Winter,Friends,Adventure,South India,Hyderabad
High,8,Winter,Family,Mountains,North India,Kashmir
Low,3,Winter,Family,Spiritual,North India,Varanasi
High,6,Summer,Couple,Nature,North India,Kashmir
Low,3,Winter,Solo,Spiritual,North India,Varanasi
Medium,2,Winter,Solo,Historical,South India,Mysore
High,6,Winter,Friends,Beach,West India,Goa
Medium,4,Spring,Friends,Adventure,North India,Rishikesh
Medium,5,Spring,Solo,Mountains,Northeast India,Darjeeling
Low,3,Autumn,Solo,Adventure,South India,Hyderabad
Low,4,Summer,Couple,Nature,South India,Ooty
Medium,2,Winter,Friends,Adventure,South India,Coorg
High,8,Winter,Couple,Nature,North India,Kashmir
High,6,Autumn,Family,Nature,Northeast India,Darjeeling
Medium,4,Winter,Friends,Adventure,South India,Coorg
Medium,5,Spring,Solo,Spiritual,North India,Rishikesh
Low,2,Winter,Couple,Nature,South India,Araku Valley
Medium,6,Summer,Couple,Mountains,North India,Manali
Medium,3,Autumn,Family,Wildlife,South India,Araku Valley
High,5,Winter,Couple,Historical,North India,Udaipur
Medium,2,Winter,Family,Historical,South India,Mysore
Medium,4,Winter,Couple,Nature,South India,Coorg
Medium,5,Monsoon,Family,Mountains,South India,Munnar
Low,4,Spring,Friends,Adventure,North India,Rishikesh
Medium,8,Winter,Friends,Adventure,North India,Manali
High,5,Spring,Family,Historical,West India,Udaipur
Medium,3,Spring,Couple,Historical,West India,Udaipur
Medium,3,Autumn,Friends,Adventure,North India,Rishikesh
High,5,Winter,Couple,Nature,North India,Udaipur
High,6,Winter,Couple,Adventure,North India,Manali
Medium,6,Spring,Solo,Mountains,North India,Manali
Medium,5,Spring,Couple,Mountains,East India,Darjeeling
High,8,Winter,Couple,Mountains,North India,Kashmir
Low,2,Winter,Friends,Historical,South India,Hyderabad
Medium,6,Spring,Friends,Mountains,North India,Manali
High,8,Summer,Couple,Nature,North India,Kashmir
Medium,3,Monsoon,Couple,Adventure,South India,Coorg
High,5,Winter,Family,Mountains,South India,Munnar
Medium,3,Winter,Family,Nature,South India,Araku Valley
High,4,Spring,Couple,Historical,West India,Udaipur
Medium,4,Monsoon,Friends,Adventure,West India,Goa
Medium,3,Winter,Friends,Historical,South India,Hyderabad
Low,4,Autumn,Friends,Adventure,North India,Rishikesh
High,7,Winter,Friends,Mountains,North India,Manali
High,6,Winter,Friends,Beach,West India,Goa
Medium,2,Winter,Solo,Adventure,South India,Hyderabad
Medium,3,Spring,Family,Historical,North India,Jaipur
Medium,3,Spring,Family,Nature,South India,Ooty
Medium,6,Winter,Couple,Mountains,North India,Manali
High,8,Winter,Couple,Nature,North India,Kashmir
Medium,3,Spring,Couple,Nature,South India,Ooty
High,3,Spring,Family,Nature,West India,Udaipur
Medium,3,Winter,Couple,Adventure,South India,Coorg
High,3,Winter,Couple,Historical,North India,Jaipur
High,6,Summer,Couple,Adventure,North India,Manali
High,8,Winter,Couple,Beach,South India,Andaman
High,8,Spring,Friends,Beach,South India,Andaman
Low,3,Autumn,Solo,Adventure,North India,Rishikesh
Medium,3,Winter,Family,Historical,North India,Jaipur
High,6,Winter,Family,Nature,North India,Kashmir
Low,3,Winter,Couple,Nature,South India,Araku Valley
High,4,Winter,Couple,Mountains,South India,Munnar
High,2,Monsoon,Friends,Nature,South India,Coorg
